id,path,is_bee,is_wasp,is_otherinsect,is_other,photo_quality,is_validation,is_final_validation,label
1,bee1\10007154554_026417cfd0_n.jpg,1,0,0,0,1,0,0,bee
2,bee1\10024864894_6dc54d4b34_n.jpg,1,0,0,0,1,0,1,bee
3,bee1\10092043833_7306dfd1f0_n.jpg,1,0,0,0,1,1,0,bee
4,bee1\1011948979_fc3637e779_w.jpg,1,0,0,0,1,0,1,bee
5,bee1\10128235063_dca17db76c_n.jpg,1,0,0,0,1,0,0,bee
6,bee1\10130729734_f68738333e_w.jpg,1,0,0,0,1,0,0,bee
7,bee1\10166485783_9cd6706c72_n.jpg,1,0,0,0,1,0,0,bee
8,bee1\10179824_84803290ac_m.jpg,1,0,0,0,1,0,0,bee
9,bee1\10197482094_0176d1bacb_n.jpg,1,0,0,0,1,0,0,bee
10,bee1\10242298546_aac12f5223_n.jpg,1,0,0,0,1,0,0,bee
11,bee1\10290912366_20f0dbdb0e_m.jpg,1,0,0,0,1,1,0,bee
12,bee1\10290912366_20f0dbdb0e_n.jpg,1,0,0,0,1,0,0,bee
13,bee1\10319307805_02d44f6555_m.jpg,1,0,0,0,1,0,0,bee
14,bee1\10319312035_07f21405de_n.jpg,1,0,0,0,1,0,0,bee
15,bee1\10330536605_77cd1d5e37_n.jpg,1,0,0,0,1,1,0,bee
16,bee1\10330536605_77cd1d5e37_w.jpg,1,0,0,0,1,0,0,bee
17,bee1\10386457326_4cc07bac3b_n.jpg,1,0,0,0,1,0,0,bee
18,bee1\10392500084_4b1ef7ffac_n.jpg,1,0,0,0,1,0,0,bee
19,bee1\10392744445_277e994c9e_n.jpg,1,0,0,0,1,0,0,bee
20,bee1\10392941093_f2f0abbd9d_n.jpg,1,0,0,0,1,0,0,bee
21,bee1\10408546655_27654d0185_w.jpg,1,0,0,0,1,0,0,bee
22,bee1\10408556086_0f661a361f_w.jpg,1,0,0,0,1,0,0,bee
23,bee1\1044467943_594f56bd36_n.jpg,1,0,0,0,1,0,1,bee
24,bee1\10457143913_149e654aaa_n.jpg,1,0,0,0,1,1,0,bee
25,bee1\10626408266_c96b0fb945_n.jpg,1,0,0,0,1,0,0,bee
26,bee1\10626649743_2f30cb33c3_n.jpg,1,0,0,0,1,0,0,bee
27,bee1\10741832906_8cfa402d7b_n.jpg,1,0,0,0,1,0,0,bee
28,bee1\10741839246_552d9b2a88_m.jpg,1,0,0,0,1,0,0,bee
29,bee1\10767993123_11165835f0_n.jpg,1,0,0,0,1,0,0,bee
30,bee1\10823833_f3cfe581b6_n.jpg,1,0,0,0,1,0,0,bee
31,bee1\10823834_7f6ddb5bce_n.jpg,1,0,0,0,1,1,0,bee
32,bee1\109174454_99ce7901c8_n.jpg,1,0,0,0,1,1,0,bee
33,bee1\1096523362_266c05f368_m.jpg,1,0,0,0,1,0,0,bee
34,bee1\11061289353_f22005ee19_n.jpg,1,0,0,0,1,0,0,bee
35,bee1\11513862125_e99c104902_n.jpg,1,0,0,0,1,0,0,bee
36,bee1\1153590285_0404c5d0e2_m.jpg,1,0,0,0,1,0,0,bee
37,bee1\1154438668_037d503906_m.jpg,1,0,0,0,1,0,1,bee
38,bee1\11553185696_d1414ce263_m.jpg,1,0,0,0,1,0,0,bee
39,bee1\11564246563_3a730b34ca_n.jpg,1,0,0,0,1,0,0,bee
40,bee1\11609248916_80ea630895_n.jpg,1,0,0,0,1,0,1,bee
41,bee1\11698983046_8a7f5dda36_n.jpg,1,0,0,0,1,0,1,bee
42,bee1\117423537_2f4372aa4e_m.jpg,1,0,0,0,1,0,1,bee
43,bee1\11746190903_a607ef37e0_n.jpg,1,0,0,0,1,0,0,bee
44,bee1\11755398113_83f1ab1f77_m.jpg,1,0,0,0,1,1,0,bee
45,bee1\1194616371_51dc6563b6_n.jpg,1,0,0,0,1,0,1,bee
46,bee1\119646079_44a22ec7b9_n.jpg,1,0,0,0,1,0,1,bee
47,bee1\11968099543_e6496829a0_n.jpg,1,0,0,0,1,0,0,bee
48,bee1\11976446564_6fa5e2393c_n.jpg,1,0,0,0,1,0,0,bee
49,bee1\11976867746_45bbd15fc3_n.jpg,1,0,0,0,1,0,0,bee
50,bee1\12022928985_2923a92ed0_n.jpg,1,0,0,0,1,0,0,bee
51,bee1\1204612547_7eedda6846_w.jpg,1,0,0,0,1,1,0,bee
52,bee1\121045590_56468b772e_n.jpg,1,0,0,0,1,0,0,bee
53,bee1\1230641767_7945e041c4_n.jpg,1,0,0,0,1,0,0,bee
54,bee1\1240800_e5f2b40032_n.jpg,1,0,0,0,1,0,0,bee
55,bee1\1244616841_a67453f3b7_m.jpg,1,0,0,0,1,0,0,bee
56,bee1\12591920424_8b5568c537_n.jpg,1,0,0,0,1,0,1,bee
57,bee1\1261521903_ed5af42e71_n.jpg,1,0,0,0,1,0,1,bee
58,bee1\1278830171_9f5a28b027_n.jpg,1,0,0,0,1,0,1,bee
59,bee1\1286067575_df1de348ee_n.jpg,1,0,0,0,1,0,0,bee
60,bee1\1297064126_e1ebe8a109_n.jpg,1,0,0,0,1,0,0,bee
61,bee1\130053000_e5e9785e1b_m.jpg,1,0,0,0,1,0,0,bee
62,bee1\13124742574_e2cdf1ba10_n.jpg,1,0,0,0,1,0,0,bee
63,bee1\13177461713_73606a42a8_m.jpg,1,0,0,0,1,1,0,bee
64,bee1\13177613014_2ac48e0388_m.jpg,1,0,0,0,1,0,1,bee
65,bee1\132446013_8cbea4cf03_n.jpg,1,0,0,0,1,1,0,bee
66,bee1\1324904081_75fdbb7ace_n.jpg,1,0,0,0,1,0,1,bee
67,bee1\13357903333_9a4620f4dc_n.jpg,1,0,0,0,1,0,0,bee
68,bee1\1338259334_1935a3a440_n.jpg,1,0,0,0,1,0,0,bee
69,bee1\13485698883_6ac43d580c_n.jpg,1,0,0,0,1,0,0,bee
70,bee1\13485728943_1ea6cd7058_n.jpg,1,0,0,0,1,0,0,bee
71,bee1\13485969934_bf7388bbe6_n.jpg,1,0,0,0,1,0,0,bee
72,bee1\1349064378_f88a1e6b48_m.jpg,1,0,0,0,1,1,0,bee
73,bee1\135044557_8afc879cab_n.jpg,1,0,0,0,1,0,0,bee
74,bee1\13534123133_aabc1f3b9e_w.jpg,1,0,0,0,1,0,0,bee
75,bee1\136590915_bd3723fc85_n.jpg,1,0,0,0,1,0,0,bee
76,bee1\13702287973_4be2499014_m.jpg,1,0,0,0,1,0,0,bee
77,bee1\13756366184_73147d5e44_n.jpg,1,0,0,0,1,0,0,bee
78,bee1\13756366184_73147d5e44_w.jpg,1,0,0,0,1,0,0,bee
79,bee1\13757733233_3d24b4d79d_m.jpg,1,0,0,0,1,0,0,bee
80,bee1\1376169379_1233383aab_n.jpg,1,0,0,0,1,0,0,bee
81,bee1\1376862575_71d55ca527_n.jpg,1,0,0,0,1,0,0,bee
82,bee1\13806275074_996f4ccce9_n.jpg,1,0,0,0,1,0,0,bee
83,bee1\13815411724_4d0c56c4b1_m.jpg,1,0,0,0,1,1,0,bee
84,bee1\13825470143_c0d4448efe_n.jpg,1,0,0,0,1,0,0,bee
85,bee1\13825840873_b84dd1b0a8_n.jpg,1,0,0,0,1,0,1,bee
86,bee1\13825840873_b84dd1b0a8_w.jpg,1,0,0,0,1,0,0,bee
87,bee1\13826117474_5411c33ec2_w.jpg,1,0,0,0,1,0,1,bee
88,bee1\13857515175_9800819b9c_n.jpg,1,0,0,0,1,0,0,bee
89,bee1\13857515175_9800819b9c_w.jpg,1,0,0,0,1,1,0,bee
90,bee1\13857873954_0ea45a2d2b_n.jpg,1,0,0,0,1,0,0,bee
91,bee1\13870075855_8dc6d885c4_m.jpg,1,0,0,0,1,0,0,bee
92,bee1\13883129121_b9a6ac4785_m.jpg,1,0,0,0,1,0,0,bee
93,bee1\1388451580_00495df560_m.jpg,1,0,0,0,1,0,0,bee
94,bee1\13888818877_c9cfd2d946_m.jpg,1,0,0,0,1,0,0,bee
95,bee1\13888820747_5620153b49_m.jpg,1,0,0,0,1,1,0,bee
96,bee1\13888835850_ce2fc9fbe3_m.jpg,1,0,0,0,1,0,0,bee
97,bee1\1388966498_ec3cef43be_w.jpg,1,0,0,0,1,0,0,bee
98,bee1\13917347914_6097b1f322_n.jpg,1,0,0,0,1,0,0,bee
99,bee1\13937747369_499cbf8ce1_n.jpg,1,0,0,0,1,1,0,bee
100,bee1\13953702201_1756dd881c_n.jpg,1,0,0,0,1,0,0,bee
101,bee1\13953702201_1756dd881c_w.jpg,1,0,0,0,1,0,0,bee
102,bee1\13974070323_84dd497988_n.jpg,1,0,0,0,1,0,0,bee
103,bee1\13974074073_0c6039814a_n.jpg,1,0,0,0,1,0,0,bee
104,bee1\13975311404_d631edd5aa_m.jpg,1,0,0,0,1,0,0,bee
105,bee1\13993945720_9ab93f2991.jpg,1,0,0,0,1,0,0,bee
106,bee1\13994860443_f4a58fe9be_m.jpg,1,0,0,0,1,0,0,bee
107,bee1\14002344549_67c6ba6a35_w.jpg,1,0,0,0,1,0,0,bee
108,bee1\14006144689_b5feed1689_m.jpg,1,0,0,0,1,0,0,bee
109,bee1\14021997265_809f395a0e_n.jpg,1,0,0,0,1,0,0,bee
110,bee1\14021997265_809f395a0e_w.jpg,1,0,0,0,1,1,0,bee
111,bee1\14028295179_d7020cb54b_m.jpg,1,0,0,0,1,1,0,bee
112,bee1\14044538853_24f354a821_n.jpg,1,0,0,0,1,0,0,bee
113,bee1\14065269548_1ca1055f7c_n.jpg,1,0,0,0,1,0,0,bee
114,bee1\14065269718_2ec3634a83_n.jpg,1,0,0,0,1,0,0,bee
115,bee1\14096313121_6256433c2e_n.jpg,1,0,0,0,1,1,0,bee
116,bee1\14099529705_3ee72522f1_n.jpg,1,0,0,0,1,0,0,bee
117,bee1\14099956064_7bd446b039_n.jpg,1,0,0,0,1,0,0,bee
118,bee1\14110473287_b99ac20958_n.jpg,1,0,0,0,1,1,0,bee
119,bee1\14111443672_b99f6d071d_m.jpg,1,0,0,0,1,0,1,bee
120,bee1\14112763538_b07635b3c4_n.jpg,1,0,0,0,1,0,0,bee
121,bee1\14114525691_ee3414ebb5_n.jpg,1,0,0,0,1,0,0,bee
122,bee1\14117808765_68396b61b6_n.jpg,1,0,0,0,1,1,0,bee
123,bee1\14118166754_0401cf247b_n.jpg,1,0,0,0,1,0,0,bee
124,bee1\14121832449_7a50a2d287_n.jpg,1,0,0,0,1,1,0,bee
125,bee1\14127514750_54646a604b_m.jpg,1,0,0,0,1,0,0,bee
126,bee1\14136238353_fe941a6923_m.jpg,1,0,0,0,1,0,0,bee
127,bee1\14136285539_6e79118c79_n.jpg,1,0,0,0,1,0,0,bee
128,bee1\14136293089_d1d1dc7c44_n.jpg,1,0,0,0,1,0,0,bee
129,bee1\14136340720_dea391919b_n.jpg,1,0,0,0,1,0,0,bee
130,bee1\14136373690_35fa63f235_n.jpg,1,0,0,0,1,0,0,bee
131,bee1\14136427767_507922bd84_n.jpg,1,0,0,0,1,0,0,bee
132,bee1\14136432977_0ce200ebc9_n.jpg,1,0,0,0,1,0,1,bee
133,bee1\14160975322_9e3b8fb1de_n.jpg,1,0,0,0,1,0,1,bee
134,bee1\141835258_ba0c9e83ea_n.jpg,1,0,0,0,1,0,0,bee
135,bee1\141835259_31a9a80e96_w.jpg,1,0,0,0,1,0,0,bee
136,bee1\14188219461_630df3a0ee_m.jpg,1,0,0,0,1,0,0,bee
137,bee1\14189837072_6b60fd5af8_n.jpg,1,0,0,0,1,0,0,bee
138,bee1\14191117658_78059ffdf4_n.jpg,1,0,0,0,1,0,0,bee
139,bee1\14207529013_9eb3cc818f_n.jpg,1,0,0,0,1,0,0,bee
140,bee1\14212550492_0c11024012_m.jpg,1,0,0,0,1,0,0,bee
141,bee1\14223086694_d4908ac569_m.jpg,1,0,0,0,1,1,0,bee
142,bee1\142302599_eeae598d28_n.jpg,1,0,0,0,1,0,0,bee
143,bee1\14262728407_89b22befb5_m.jpg,1,0,0,0,1,0,0,bee
144,bee1\14272102003_7b56830013_n.jpg,1,0,0,0,1,0,0,bee
145,bee1\14274364993_ef5ee27cc9_m.jpg,1,0,0,0,1,0,1,bee
146,bee1\14274364993_ef5ee27cc9_n.jpg,1,0,0,0,1,0,1,bee
147,bee1\14275772803_6e54d4df37_w.jpg,1,0,0,0,1,0,0,bee
148,bee1\14294990652_e2b3ddd0d1_n.jpg,1,0,0,0,1,0,0,bee
149,bee1\14294990652_e2b3ddd0d1_w.jpg,1,0,0,0,1,0,0,bee
150,bee1\14294991552_7b9d637201_n.jpg,1,0,0,0,1,0,0,bee
151,bee1\14294993292_f05c360aab_n.jpg,1,0,0,0,1,0,0,bee
152,bee1\14294993292_f05c360aab_w.jpg,1,0,0,0,1,0,1,bee
153,bee1\14295908305_70a1340675_n.jpg,1,0,0,0,1,1,0,bee
154,bee1\14299416795_14dac86882_n.jpg,1,0,0,0,1,0,0,bee
155,bee1\14299792476_0bd556d5ff_n.jpg,1,0,0,0,1,0,0,bee
156,bee1\1430068141_2e05947f7c_m.jpg,1,0,0,0,1,0,0,bee
157,bee1\1430069929_11c69f847d_m.jpg,1,0,0,0,1,0,0,bee
158,bee1\14305502673_268b41bd3b_n.jpg,1,0,0,0,1,0,0,bee
159,bee1\14308106675_103943d49a_n.jpg,1,0,0,0,1,0,0,bee
160,bee1\14308905514_649fd7a38a_m.jpg,1,0,0,0,1,0,0,bee
161,bee1\1430940630_7b6da6940d_m.jpg,1,0,0,0,1,0,0,bee
162,bee1\14312999643_7d0069f1d0_m.jpg,1,0,0,0,1,0,1,bee
163,bee1\14315984511_0dd61c64f3_m.jpg,1,0,0,0,1,0,1,bee
164,bee1\14319615181_6a1e683308_n.jpg,1,0,0,0,1,0,1,bee
165,bee1\14321167902_0274b9e6d6_n.jpg,1,0,0,0,1,0,0,bee
166,bee1\14322267704_2ac34a2af2_n.jpg,1,0,0,0,1,0,0,bee
167,bee1\14322321214_77d4844b56_n.jpg,1,0,0,0,1,0,0,bee
168,bee1\14322945555_7d157de7e6_n.jpg,1,0,0,0,1,0,0,bee
169,bee1\14328029341_45259fba63_n.jpg,1,0,0,0,1,0,0,bee
170,bee1\14328033931_1fc6dfd6ac_n.jpg,1,0,0,0,1,0,0,bee
171,bee1\14328718034_0cea7c2419_m.jpg,1,0,0,0,1,0,0,bee
172,bee1\14330647014_b66dcd0f4b_m.jpg,1,0,0,0,1,0,0,bee
173,bee1\14335159673_d79fe133db_m.jpg,1,0,0,0,1,1,0,bee
174,bee1\14343038379_9db0cd2eb6_n.jpg,1,0,0,0,1,0,1,bee
175,bee1\14350118446_e2e43683fc_n.jpg,1,0,0,0,1,0,0,bee
176,bee1\14350209910_3368901b3c_n.jpg,1,0,0,0,1,1,0,bee
177,bee1\14351571413_9ca227e0d6_n.jpg,1,0,0,0,1,0,1,bee
178,bee1\14358121867_e0bb7b3f6c_m.jpg,1,0,0,0,1,0,0,bee
179,bee1\14359868615_da607ccd68_m.jpg,1,0,0,0,1,0,0,bee
180,bee1\14364187542_54931a2fb5_m.jpg,1,0,0,0,1,0,0,bee
181,bee1\14366269693_be9dc3e0e3_n.jpg,1,0,0,0,1,0,1,bee
182,bee1\14369884681_184024c2a4_n.jpg,1,0,0,0,1,0,1,bee
